1,10,9
1,1,3
1,8,7
1,5,4
1,6,2
2,7,10
2,9,6
2,8,5
2,3,2
2,4,1
3,10,5
3,4,9
3,8,3
3,7,2
3,1,6
4,6,10
4,9,5
4,8,4
4,3,7
4,2,1
5,10,3
5,2,9
5,1,8
5,7,5
5,6,4
6,8,10
6,9,7
6,4,2
6,5,1
6,3,6
7,10,2
7,1,9
7,6,8
7,7,4
7,5,3
8,4,10
8,9,3
8,8,2
8,1,7
8,5,6
9,1,10
9,8,3
9,4,9
9,7,6
9,5,2
10,10,9
10,1,3
10,8,7
10,5,4
10,6,2
11,7,10
11,9,6
11,8,5
11,3,2
11,4,1
12,10,5
12,4,9
12,8,3
12,7,2
12,1,6
13,6,10
13,9,5
13,8,4
13,3,7
13,2,1
14,10,3
14,2,9
14,1,8
14,7,5
14,6,4
15,8,10
15,9,7
15,4,2
15,5,1
15,3,6
16,10,2
16,1,9
16,6,8
16,7,4
16,5,3
17,4,10
17,9,3
17,8,2
17,1,7
17,5,6
